Coluna_original;Coluna_renomeada;Tipo;Nulo
Q001;Escolaridade_Pai;AlfaNumerico Incremental; H
Q002;Escolaridade_Mae;AlfaNumerico Incremental; H
Q003;Ocupacao_Pai;AlfaNumerico Incremental; F
Q004;Ocupacao_Mae;AlfaNumerico Incremental; F
Q005;Pessoas_na_casa;Inteiros;
Q006;Renda;AlfaNumerico Incremental;
Q007;N_empregados_domesticos;AlfaNumerico Incremental;
Q008;N_banheiros;AlfaNumerico Incremental;
Q009;N_quartos;AlfaNumerico Incremental;
Q010;N_carros;AlfaNumerico Incremental;
Q011;N_motos;AlfaNumerico Incremental;
Q012;N_geladeiras;AlfaNumerico Incremental;
Q013;N_freezer;AlfaNumerico Incremental;
Q014;N_maquinas_lavar;AlfaNumerico Incremental;
Q015;N_secadoras;AlfaNumerico Incremental;
Q016;N_microondas;AlfaNumerico Incremental;
Q017;N_lava_loucas;AlfaNumerico Incremental;
Q018;Aspirdor_de_po;Sim/Nao;
Q019;N_televisores;AlfaNumerico Incremental;
Q020;DVD; Sim/Nao;
Q021;TV_assinatura;Sim/Nao;
Q022;N_celulares;AlfaNumerico Incremental;
Q023;Telefone_fixo;Sim/Nao;
Q024;N_computadores;AlfaNumerico Incremental;
Q025;Acesso_internet;Sim/Nao;
